xP,yP,thetaP,inputP,xE,yE,thetaE,inputE,,
6.107354767,6.724060047,0.872825926,-3.84E-16,7.717063676,8.627711633,0.87689309,-0.076801539,,
6.152754586,6.778183171,0.872825926,-9.62E-18,7.739600067,8.654800775,0.876875245,0.075788701,,
6.198154404,6.832306295,0.872825926,-2.23E-16,7.762136464,8.681889914,0.876892738,-0.074795828,,
6.243554223,6.886429419,0.872825926,5.01E-17,7.784672856,8.708979056,0.876875592,0.073822681,,
6.288954041,6.940552543,0.872825926,-3.09E-16,7.807209252,8.736068194,0.876892395,-0.072869025,,
6.33435386,6.994675667,0.872825926,-6.05E-16,7.829745644,8.763157336,0.876875932,0.071934626,,
6.379753678,7.048798791,0.872825926,2.92E-17,7.85228204,8.790246475,0.876892059,-0.071019256,,
6.425153497,7.102921915,0.872825926,1.85E-16,7.874818432,8.817335617,0.876876263,0.070122693,,
6.470553315,7.157045039,0.872825926,4.09E-16,7.897354829,8.844424756,0.876891732,-0.069244716,,
6.515953134,7.211168162,0.872825926,2.81E-16,7.91989122,8.871513898,0.876876587,0.068385109,,
6.561352952,7.265291286,0.872825926,-4.04E-16,7.942427617,8.898603036,0.876891412,-0.067543659,,
6.606752771,7.31941441,0.872825926,-3.69E-16,7.964964009,8.925692178,0.876876903,0.066720159,,
6.652152589,7.373537534,0.872825926,1.59E-16,7.987500405,8.952781317,0.876891099,-0.065914404,,
6.697552408,7.427660658,0.872825926,-4.25E-16,8.010036797,8.979870459,0.876877212,0.065126195,,
6.742952226,7.481783782,0.872825926,-4.70E-16,8.032573193,9.006959598,0.876890794,-0.064355334,,
6.788352045,7.535906906,0.872825926,-2.71E-16,8.055109585,9.03404874,0.876877514,0.06360163,,
6.833751863,7.59003003,0.872825926,9.21E-17,8.077645981,9.061137878,0.876890495,-0.062864894,,
6.879151682,7.644153154,0.872825926,-3.15E-17,8.100182374,9.08822702,0.87687781,0.06214494,,
6.9245515,7.698276278,0.872825926,-1.15E-16,8.12271877,9.115316159,0.876890202,-0.061441589,,
6.969951319,7.752399402,0.872825926,2.47E-17,8.145255162,9.142405301,0.876878099,0.060754663,,
7.015351137,7.806522526,0.872825926,-7.62E-17,8.167791558,9.16949444,0.876889916,-0.060083988,,
7.060750956,7.86064565,0.872825926,-8.37E-17,8.19032795,9.196583582,0.876878383,0.059429396,,
7.106150774,7.914768773,0.872825926,-3.45E-17,8.212864346,9.22367272,0.876889635,-0.05879072,,
7.151550593,7.968891897,0.872825926,3.15E-17,8.235400738,9.250761862,0.87687866,0.0581678,,
7.196950411,8.023015021,0.872825926,-2.82E-16,8.257937134,9.277851001,0.876889361,-0.057560475,,
7.24235023,8.077138145,0.872825926,8.04E-18,8.280473527,9.304940143,0.876878932,0.056968593,,
7.287750048,8.131261269,0.872825926,-1.15E-16,8.303009923,9.332029282,0.876889091,-0.056392002,,
